t,total,aqi,phase,phase_state,A,B,C,D,ab_flow,cd_flow
1834,89,130,CD,green,18,22,26,23,35,76
1835,0,130,CD,yellow,0,0,0,0,35,76
1836,91,130,CD,yellow,21,24,24,22,35,76
1837,0,130,CD,all_red,0,0,0,0,35,76
1838,95,130,CD,all_red,23,24,26,22,35,76
1839,0,130,AB_TURN,green,0,0,0,0,35,76
1840,92,130,AB_TURN,green,20,21,26,25,35,76
1841,0,130,AB_TURN,green,0,0,0,0,35,76
1842,96,130,AB_TURN,green,23,22,26,25,35,76
1843,0,130,AB_TURN,green,0,0,0,0,35,76
1844,97,130,AB_TURN,green,23,22,25,27,35,76
1845,0,130,AB_TURN,green,0,0,0,0,35,76
1846,96,130,AB_TURN,green,22,24,25,25,35,76
1847,0,130,AB_TURN,green,0,0,0,0,35,76
1848,89,130,AB_TURN,green,21,21,22,25,35,76
1849,0,130,AB_TURN,green,0,0,0,0,35,76
1850,91,130,AB_TURN,green,25,20,23,23,35,76
1851,0,130,AB_TURN,green,0,0,0,0,35,76
1852,95,130,AB_TURN,green,25,23,25,22,35,76
1853,0,130,AB_TURN,green,0,0,0,0,35,76
1854,90,130,AB_TURN,green,22,24,23,21,35,76
1855,0,130,AB_TURN,green,0,0,0,0,35,76
1856,90,130,AB_TURN,green,21,22,23,24,35,76
1857,0,130,AB_TURN,green,0,0,0,0,35,76
1858,86,130,AB_TURN,green,20,23,22,21,35,76
1859,0,130,AB_TURN,green,0,0,0,0,35,76
1860,85,130,AB_TURN,green,19,24,22,20,35,76
1861,0,130,AB_TURN,green,0,0,0,0,35,76
1862,82,130,AB_TURN,green,20,22,21,19,35,76
1863,0,130,AB_TURN,green,0,0,0,0,35,76
1864,83,130,AB_TURN,green,21,23,21,18,35,76
1865,0,130,AB_TURN,green,0,0,0,0,35,76
1866,82,130,AB_TURN,green,20,19,22,21,35,76
1867,0,130,AB_TURN,yellow,0,0,0,0,35,76
1868,82,130,AB_TURN,yellow,18,20,21,23,35,76
1869,0,130,AB_TURN,all_red,0,0,0,0,35,76
1870,82,130,AB_TURN,all_red,19,22,21,20,35,76
1871,0,130,CD,green,0,0,0,0,35,76
1872,83,130,CD,green,18,21,21,23,35,76
1873,0,130,CD,green,0,0,0,0,35,76
1874,82,130,CD,green,18,20,21,23,35,76
1875,0,130,CD,green,0,0,0,0,35,76
1876,86,130,CD,green,18,22,24,22,35,76
1877,0,130,CD,green,0,0,0,0,35,76
1878,87,130,CD,green,20,23,23,21,35,76
1879,0,130,CD,green,0,0,0,0,35,76
1880,90,130,CD,green,21,21,23,25,35,76
1881,0,130,CD,green,0,0,0,0,35,76
1882,88,130,CD,green,21,18,24,25,35,76
1883,0,130,CD,green,0,0,0,0,35,76
1884,85,130,CD,green,18,21,24,22,35,76
1885,0,130,CD,green,0,0,0,0,35,76
